"delta","S","n_crossings","structure","regime","action_set","v_min","v_max","H_left","H_right"
0.07,200,0,"All action","Low penalty","[-10,10]",-10,10,0.6857,0.0057
0.08,2,0,"All action","Low penalty","[-10,10]",-10,10,0.468,1e-04
0.08,3,0,"All action","Low penalty","[-10,10]",-10,10,0.468,1e-04
0.08,4,0,"All action","Low penalty","[-10,10]",-10,10,0.468,1e-04
0.08,5,0,"All action","Low penalty","[-10,10]",-10,10,0.468,1e-04
0.08,6,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,2e-04
0.08,7,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,2e-04
0.08,8,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,2e-04
0.08,9,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,3e-04
0.08,10,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,3e-04
0.08,11,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,3e-04
0.08,12,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,3e-04
0.08,13,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,4e-04
0.08,14,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,4e-04
0.08,15,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,4e-04
0.08,16,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,5e-04
0.08,17,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,5e-04
0.08,18,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,5e-04
0.08,19,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,5e-04
0.08,20,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,6e-04
0.08,21,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,6e-04
0.08,22,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,6e-04
0.08,23,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,7e-04
0.08,24,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,7e-04
0.08,25,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,7e-04
0.08,26,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,7e-04
0.08,27,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,8e-04
0.08,28,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,8e-04
0.08,29,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,8e-04
0.08,30,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,9e-04
0.08,31,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,9e-04
0.08,32,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,9e-04
0.08,33,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,9e-04
0.08,34,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.001
0.08,35,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.001
0.08,36,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.001
0.08,37,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0011
0.08,38,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0011
0.08,39,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0011
0.08,40,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0011
0.08,41,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0012
0.08,42,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0012
0.08,43,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0012
0.08,44,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0013
0.08,45,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0013
0.08,46,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0013
0.08,47,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0013
0.08,48,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0014
0.08,49,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0014
0.08,50,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0014
0.08,51,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0015
0.08,52,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0015
0.08,53,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0015
0.08,54,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0015
0.08,55,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0016
0.08,56,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0016
0.08,57,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0016
0.08,58,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0017
0.08,59,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0017
0.08,60,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0017
0.08,61,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0017
0.08,62,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0018
0.08,63,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0018
0.08,64,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0018
0.08,65,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0019
0.08,66,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0019
0.08,67,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0019
0.08,68,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0019
0.08,69,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.002
0.08,70,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.002
0.08,71,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.002
0.08,72,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0021
0.08,73,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0021
0.08,74,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0021
0.08,75,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0021
0.08,76,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0022
0.08,77,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0022
0.08,78,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0022
0.08,79,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0023
0.08,80,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0023
0.08,81,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0023
0.08,82,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0024
0.08,83,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0024
0.08,84,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0024
0.08,85,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0024
0.08,86,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0025
0.08,87,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0025
0.08,88,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0025
0.08,89,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0026
0.08,90,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0026
0.08,91,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0026
0.08,92,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0026
0.08,93,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0027
0.08,94,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0027
0.08,95,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0027
0.08,96,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0028
0.08,97,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0028
0.08,98,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0028
0.08,99,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0028
0.08,100,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0029
0.08,101,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0029
0.08,102,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0029
0.08,103,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.003
0.08,104,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.003
0.08,105,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.003
0.08,106,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.003
0.08,107,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0031
0.08,108,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0031
0.08,109,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0031
0.08,110,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0032
0.08,111,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0032
0.08,112,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0032
0.08,113,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0032
0.08,114,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0033
0.08,115,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0033
0.08,116,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0033
0.08,117,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0034
0.08,118,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0034
0.08,119,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0034
0.08,120,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0034
0.08,121,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0035
0.08,122,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0035
0.08,123,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0035
0.08,124,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0036
0.08,125,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0036
0.08,126,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0036
0.08,127,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0036
0.08,128,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0037
0.08,129,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0037
0.08,130,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0037
0.08,131,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0038
0.08,132,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0038
0.08,133,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0038
0.08,134,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0038
0.08,135,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0039
0.08,136,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0039
0.08,137,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0039
0.08,138,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.004
0.08,139,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.004
0.08,140,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.004
0.08,141,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.004
0.08,142,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0041
0.08,143,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0041
0.08,144,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0041
0.08,145,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0042
0.08,146,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0042
0.08,147,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0042
0.08,148,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0042
0.08,149,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0043
0.08,150,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0043
0.08,151,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0043
0.08,152,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0044
0.08,153,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0044
0.08,154,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0044
0.08,155,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0044
0.08,156,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0045
0.08,157,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0045
0.08,158,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0045
0.08,159,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0046
0.08,160,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0046
0.08,161,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0046
0.08,162,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0046
0.08,163,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0047
0.08,164,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0047
0.08,165,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0047
0.08,166,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0048
0.08,167,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0048
0.08,168,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0048
0.08,169,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0048
0.08,170,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0049
0.08,171,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0049
0.08,172,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0049
0.08,173,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.005
0.08,174,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.005
0.08,175,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.005
0.08,176,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.005
0.08,177,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0051
0.08,178,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0051
0.08,179,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0051
0.08,180,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0052
0.08,181,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0052
0.08,182,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0052
0.08,183,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0052
0.08,184,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0053
0.08,185,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0053
0.08,186,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0053
0.08,187,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0053
0.08,188,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0054
0.08,189,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0054
0.08,190,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0054
0.08,191,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0055
0.08,192,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0055
0.08,193,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0055
0.08,194,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0055
0.08,195,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0056
0.08,196,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0056
0.08,197,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0056
0.08,198,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0057
0.08,199,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0057
0.08,200,0,"All action","Low penalty","[-10,10]",-10,10,0.4681,0.0057
0.09,2,0,"All action","Low penalty","[-10,10]",-10,10,0.2268,1e-04
0.09,3,0,"All action","Low penalty","[-10,10]",-10,10,0.2268,1e-04
0.09,4,0,"All action","Low penalty","[-10,10]",-10,10,0.2268,1e-04
0.09,5,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,1e-04
0.09,6,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,2e-04
0.09,7,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,2e-04
0.09,8,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,2e-04
0.09,9,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,3e-04
0.09,10,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,3e-04
0.09,11,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,3e-04
0.09,12,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,3e-04
0.09,13,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,4e-04
0.09,14,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,4e-04
0.09,15,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,4e-04
0.09,16,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,5e-04
0.09,17,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,5e-04
0.09,18,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,5e-04
0.09,19,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,5e-04
0.09,20,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,6e-04
0.09,21,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,6e-04
0.09,22,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,6e-04
0.09,23,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,7e-04
0.09,24,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,7e-04
0.09,25,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,7e-04
0.09,26,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,7e-04
0.09,27,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,8e-04
0.09,28,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,8e-04
0.09,29,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,8e-04
0.09,30,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,9e-04
0.09,31,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,9e-04
0.09,32,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,9e-04
0.09,33,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,9e-04
0.09,34,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.001
0.09,35,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.001
0.09,36,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.001
0.09,37,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0011
0.09,38,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0011
0.09,39,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0011
0.09,40,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0011
0.09,41,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0012
0.09,42,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0012
0.09,43,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0012
0.09,44,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0013
0.09,45,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0013
0.09,46,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0013
0.09,47,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0013
0.09,48,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0014
0.09,49,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0014
0.09,50,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0014
0.09,51,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0015
0.09,52,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0015
0.09,53,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0015
0.09,54,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0015
0.09,55,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0016
0.09,56,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0016
0.09,57,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0016
0.09,58,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0017
0.09,59,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0017
0.09,60,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0017
0.09,61,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0017
0.09,62,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0018
0.09,63,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0018
0.09,64,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0018
0.09,65,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0019
0.09,66,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0019
0.09,67,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0019
0.09,68,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0019
0.09,69,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.002
0.09,70,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.002
0.09,71,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.002
0.09,72,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0021
0.09,73,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0021
0.09,74,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0021
0.09,75,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0021
0.09,76,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0022
0.09,77,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0022
0.09,78,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0022
0.09,79,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0023
0.09,80,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0023
0.09,81,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0023
0.09,82,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0024
0.09,83,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0024
0.09,84,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0024
0.09,85,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0024
0.09,86,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0025
0.09,87,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0025
0.09,88,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0025
0.09,89,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0026
0.09,90,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0026
0.09,91,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0026
0.09,92,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0026
0.09,93,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0027
0.09,94,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0027
0.09,95,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0027
0.09,96,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0028
0.09,97,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0028
0.09,98,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0028
0.09,99,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0028
0.09,100,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0029
0.09,101,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0029
0.09,102,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0029
0.09,103,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.003
0.09,104,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.003
0.09,105,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.003
0.09,106,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.003
0.09,107,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0031
0.09,108,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0031
0.09,109,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0031
0.09,110,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0032
0.09,111,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0032
0.09,112,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0032
0.09,113,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0032
0.09,114,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0033
0.09,115,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0033
0.09,116,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0033
0.09,117,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0034
0.09,118,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0034
0.09,119,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0034
0.09,120,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0034
0.09,121,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0035
0.09,122,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0035
0.09,123,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0035
0.09,124,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0036
0.09,125,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0036
0.09,126,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0036
0.09,127,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0036
0.09,128,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0037
0.09,129,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0037
0.09,130,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0037
0.09,131,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0038
0.09,132,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0038
0.09,133,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0038
0.09,134,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0038
0.09,135,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0039
0.09,136,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0039
0.09,137,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0039
0.09,138,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.004
0.09,139,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.004
0.09,140,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.004
0.09,141,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.004
0.09,142,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0041
0.09,143,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0041
0.09,144,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0041
0.09,145,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0042
0.09,146,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0042
0.09,147,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0042
0.09,148,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0042
0.09,149,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0043
0.09,150,0,"All action","Low penalty","[-10,10]",-10,10,0.2269,0.0043
